"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cam Newton (FA)","21","35","60.0","254","7.3","4","0","0","5","95","0","0","1","35.7","35.7","18.0%"
"2","Kirk Cousins (MIN)","26","45","57.8","327","7.3","1","1","1","4","5","2","0","1","27.6","27.6","85.0%"
"3","Jared Goff (DET)","25","37","67.6","355","9.6","3","0","3","4","3","0","0","1","26.5","26.5","23.0%"
"4","C.J. Beathard (JAC)","19","25","76.0","288","11.5","2","1","0","5","15","1","0","1","25.0","25.0","0.0%"
"5","Case Keenum (BUF)","21","29","72.4","304","10.5","4","2","0","3","-1","0","0","1","24.1","24.1","0.0%"
"6","DeShone Kizer (FA)","21","37","56.8","232","6.3","1","1","1","7","57","1","0","1","23.0","23.0","0.0%"
"7","Tom Brady (TB)","25","34","73.5","266","7.8","3","0","1","1","0","0","0","1","22.6","22.6","98.0%"
"8","Matthew Stafford (LAR)","17","26","65.4","249","9.6","3","1","4","4","17","0","0","1","21.7","21.7","94.0%"
"9","Russell Wilson (DEN)","22","32","68.8","238","7.4","2","0","5","5","19","0","0","1","19.4","19.4","97.0%"
"10","Ben Roethlisberger (FA)","19","31","61.3","236","7.6","2","1","1","2","5","0","0","1","17.9","17.9","27.0%"
"11","Marcus Mariota (ATL)","25","44","56.8","264","6.0","1","1","4","6","51","0","0","1","17.7","17.7","9.0%"
"12","Eli Manning (FA)","28","37","75.7","273","7.4","2","0","3","0","0","0","1","1","16.9","16.9","4.0%"
"13","Blake Bortles (FA)","28","51","54.9","273","5.4","1","2","3","5","34","0","0","1","16.3","16.3","0.0%"
"14","Mitch Trubisky (PIT)","21","35","60.0","297","8.5","1","0","5","0","0","0","0","1","15.9","15.9","5.0%"
"15","Jacoby Brissett (CLE)","14","24","58.3","222","9.3","2","1","3","4","7","0","0","1","15.6","15.6","3.0%"
"16","Philip Rivers (FA)","21","37","56.8","235","6.4","2","1","0","2","-1","0","0","1","15.3","15.3","41.0%"
"17","Drew Stanton (FA)","24","47","51.1","273","5.8","1","0","2","1","1","0","0","1","15.0","15.0","0.0%"
"18","Matt Ryan (IND)","22","29","75.9","215","7.4","2","1","1","0","0","0","0","1","14.6","14.6","49.0%"
"19","Andy Dalton (NO)","20","35","57.1","265","7.6","2","0","1","1","0","0","2","1","14.6","14.6","0.0%"
"20","Jay Cutler (FA)","22","37","59.5","213","5.8","2","1","0","1","-1","0","0","1","14.4","14.4","0.0%"
"21","Brett Hundley (FA)","18","25","72.0","212","8.5","1","0","3","2","16","0","0","1","14.1","14.1","0.0%"
"22","Drew Brees (FA)","18","25","72.0","184","7.4","0","0","0","2","6","1","0","1","14.0","14.0","71.0%"
"23","Dak Prescott (DAL)","20","30","66.7","176","5.9","0","0","8","6","42","1","2","1","13.2","13.2","96.0%"
"24","Josh McCown (FA)","23","39","59.0","262","6.7","1","1","6","0","0","0","0","1","12.5","12.5","0.0%"
"25","Brock Osweiler (FA)","18","33","54.5","221","6.7","1","1","0","1","-1","0","0","1","10.7","10.7","0.0%"
"26","Ryan Fitzpatrick (FA)","17","34","50.0","187","5.5","1","1","1","3","9","0","0","1","10.4","10.4","0.0%"
"27","Nathan Peterman (CHI)","7","10","70.0","79","7.9","1","0","0","0","0","0","0","1","7.2","7.2","0.0%"
"28","Tom Savage (FA)","18","36","50.0","221","6.1","1","2","3","2","0","0","2","1","4.8","4.8","0.0%"
"29","Tyrod Taylor (NYG)","9","18","50.0","56","3.1","0","1","2","3","27","0","0","1","2.9","2.9","1.0%"
"30","Brian Hoyer (NE)","3","3","100.0","37","12.3","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"31","Cody Kessler (FA)","1","3","33.3","5","1.7","0","0","3","0","0","0","0","1","0.2","0.2","0.0%"
"32","Austin Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"33","Kellen Clemens (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"34","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Derek Anderson (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"36","Chase Daniel (LAC)","0","0","0","0","0","0","0","0","3","-2","0","0","1","-0.2","-0.2","0.0%"
""
""
