"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","29","42","69.0","249","5.9","2","0","0","8","55","1","0","1","29.5","29.5","100.0%"
"2","Mike White (NYJ)","37","45","82.2","405","9.0","3","2","2","5","-1","0","0","1","28.1","28.1","1.0%"
"3","Jimmy Garoppolo (SF)","17","28","60.7","322","11.5","0","0","0","5","4","2","0","1","27.3","27.3","4.0%"
"4","Tom Brady (TB)","28","40","70.0","375","9.4","4","2","3","1","2","0","1","1","27.2","27.2","98.0%"
"5","Justin Fields (CHI)","19","27","70.4","175","6.5","1","1","4","10","103","1","0","1","26.3","26.3","65.0%"
"6","Matthew Stafford (LAR)","21","32","65.6","305","9.5","3","0","0","0","0","0","0","1","24.2","24.2","94.0%"
"7","Ryan Tannehill (TEN)","23","33","69.7","265","8.0","3","2","3","2","26","0","0","1","23.2","23.2","22.0%"
"8","Geno Smith (SEA)","20","24","83.3","195","8.1","2","0","3","2","8","1","0","1","22.6","22.6","2.0%"
"9","Davis Mills (HOU)","29","38","76.3","310","8.2","2","1","5","0","0","0","0","1","21.4","21.4","7.0%"
"10","Joe Burrow (CIN)","21","34","61.8","259","7.6","3","1","3","1","-1","0","0","1","21.3","21.3","99.0%"
"11","Carson Wentz (WAS)","27","51","52.9","231","4.5","3","2","1","3","11","0","0","1","20.3","20.3","14.0%"
"12","Cooper Rush (DAL)","24","40","60.0","325","8.1","2","1","3","1","2","0","1","1","18.2","18.2","0.0%"
"13","Daniel Jones (NYG)","22","32","68.8","222","6.9","2","1","3","5","12","0","0","1","17.1","17.1","26.0%"
"14","Tua Tagovailoa (MIA)","21","39","53.8","205","5.3","0","1","2","4","10","1","0","1","16.2","16.2","69.0%"
"15","Justin Herbert (LAC)","18","35","51.4","223","6.4","2","2","3","2","9","0","0","1","15.8","15.8","100.0%"
"16","Aaron Rodgers (GB)","22","37","59.5","184","5.0","2","0","1","2","3","0","0","1","15.7","15.7","95.0%"
"17","Patrick Mahomes II (KC)","29","48","60.4","275","5.7","1","1","2","3","10","0","0","1","15.0","15.0","100.0%"
"18","Ben Roethlisberger (FA)","22","34","64.7","266","7.8","1","0","2","1","0","0","0","1","14.6","14.6","27.0%"
"19","Taylor Heinicke (WAS)","24","39","61.5","270","6.9","1","2","5","1","10","0","0","1","13.8","13.8","1.0%"
"20","Trevor Lawrence (JAC)","32","54","59.3","238","4.4","1","1","1","3","11","0","0","1","13.6","13.6","56.0%"
"21","Kirk Cousins (MIN)","23","35","65.7","184","5.3","1","0","1","3","18","0","0","1","13.2","13.2","85.0%"
"22","Teddy Bridgewater (MIA)","19","26","73.1","213","8.2","1","0","4","1","1","0","0","1","12.6","12.6","1.0%"
"23","Sam Darnold (CAR)","13","24","54.2","129","5.4","0","0","0","8","66","0","0","1","11.8","11.8","2.0%"
"24","Mac Jones (NE)","18","35","51.4","217","6.2","0","0","1","4","10","0","0","1","11.7","11.7","40.0%"
"25","Jalen Hurts (PHI)","9","14","64.3","103","7.4","0","0","0","7","71","0","0","1","11.2","11.2","98.0%"
"26","Kyler Murray (ARI)","22","33","66.7","274","8.3","0","2","2","6","21","0","0","1","11.1","11.1","99.0%"
"27","Trevor Siemian (CHI)","16","29","55.2","159","5.5","1","0","1","2","2","0","0","1","10.6","10.6","0.0%"
"28","Jameis Winston (NO)","6","10","60.0","56","5.6","1","0","0","4","40","0","0","1","10.2","10.2","41.0%"
"29","Baker Mayfield (CAR)","20","31","64.5","225","7.3","0","0","4","1","5","0","0","1","9.5","9.5","13.0%"
"30","Jared Goff (DET)","25","34","73.5","222","6.5","0","0","5","0","0","0","0","1","8.9","8.9","23.0%"
"31","Matt Ryan (IND)","20","27","74.1","146","5.4","1","2","3","2","3","0","0","1","8.1","8.1","49.0%"
"32","Josh Johnson (DEN)","2","4","50.0","17","4.3","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"33","David Blough (DET)","0","0","0","0","0","0","0","1","1","6","0","0","1","0.6","0.6","0.0%"
"34","Gardner Minshew II (PHI)","2","2","100.0","11","5.5","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"35","John Wolford (LAR)","1","2","50.0","5","2.5","0","0","1","0","0","0","0","1","0.2","0.2","0.0%"
"36","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
