"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ben Roethlisberger (FA)","39","60","65.0","452","7.5","3","0","1","2","9","1","0","1","39.0","39.0","27.0%"
"2","Patrick Mahomes II (KC)","23","28","82.1","326","11.6","6","0","1","5","18","0","0","1","38.8","38.8","100.0%"
"3","Kirk Cousins (MIN)","35","48","72.9","425","8.9","4","1","2","2","5","0","0","1","33.5","33.5","85.0%"
"4","Blake Bortles (FA)","29","45","64.4","376","8.4","4","1","0","6","35","0","0","1","32.5","32.5","0.0%"
"5","Matt Ryan (IND)","23","28","82.1","272","9.7","2","1","0","4","18","2","0","1","30.7","30.7","49.0%"
"6","Ryan Fitzpatrick (FA)","27","33","81.8","402","12.2","4","1","2","1","-1","0","0","1","30.0","30.0","0.0%"
"7","Cam Newton (FA)","32","45","71.1","335","7.4","3","1","2","5","42","0","0","1","27.6","27.6","18.0%"
"8","Andy Dalton (NO)","24","42","57.1","265","6.3","4","0","0","0","0","0","0","1","26.6","26.6","0.0%"
"9","Matthew Stafford (LAR)","34","53","64.2","347","6.5","3","0","2","1","8","0","1","1","24.7","24.7","94.0%"
"10","Deshaun Watson (CLE)","22","32","68.8","310","9.7","2","1","4","5","44","0","0","1","22.8","22.8","22.0%"
"11","Philip Rivers (FA)","23","27","85.2","256","9.5","3","0","2","3","5","0","0","1","22.7","22.7","41.0%"
"12","Jared Goff (DET)","24","32","75.0","354","11.1","1","1","2","2","2","0","0","1","18.4","18.4","23.0%"
"13","Joe Flacco (NYJ)","32","55","58.2","376","6.8","2","2","4","3","8","0","1","1","17.8","17.8","1.0%"
"14","Drew Brees (FA)","28","35","80.0","243","6.9","2","0","3","1","-1","0","0","1","17.6","17.6","71.0%"
"15","Ryan Tannehill (TEN)","17","23","73.9","168","7.3","2","0","4","8","44","0","1","1","17.1","17.1","22.0%"
"16","Jimmy Garoppolo (SF)","18","26","69.2","206","7.9","2","0","6","3","4","0","0","1","16.6","16.6","4.0%"
"17","Tom Brady (TB)","24","35","68.6","234","6.7","2","0","2","3","10","0","1","1","16.4","16.4","98.0%"
"18","Aaron Rodgers (GB)","30","42","71.4","281","6.7","1","0","4","3","8","0","0","1","16.0","16.0","95.0%"
"19","Nick Foles (IND)","35","48","72.9","334","7.0","1","0","3","3","8","0","1","1","15.7","15.7","0.0%"
"20","Derek Carr (LV)","29","32","90.6","288","9.0","1","0","1","0","0","0","0","1","15.5","15.5","89.0%"
"21","Dak Prescott (DAL)","16","25","64.0","160","6.4","1","0","0","7","45","0","0","1","14.9","14.9","96.0%"
"22","Russell Wilson (DEN)","22","36","61.1","226","6.3","2","1","6","3","17","0","1","1","14.7","14.7","97.0%"
"23","Case Keenum (BUF)","19","35","54.3","222","6.3","0","1","1","3","16","1","0","1","14.5","14.5","0.0%"
"24","Mitch Trubisky (PIT)","25","34","73.5","200","5.9","2","2","2","5","24","0","0","1","14.4","14.4","5.0%"
"25","Tyrod Taylor (NYG)","22","30","73.3","246","8.2","1","1","3","4","26","0","0","1","14.4","14.4","1.0%"
"26","Eli Manning (FA)","33","44","75.0","279","6.3","1","0","6","3","4","0","1","1","13.6","13.6","4.0%"
"27","Sam Darnold (CAR)","25","41","61.0","334","8.1","1","2","3","2","1","0","0","1","13.5","13.5","2.0%"
"28","Alex Smith (FA)","33","46","71.7","292","6.3","0","0","3","4","14","0","0","1","13.1","13.1","5.0%"
"29","Josh Allen (BUF)","18","33","54.5","245","7.4","1","2","5","8","32","0","0","1","13.0","13.0","100.0%"
"30","Andrew Luck (FA)","21","31","67.7","179","5.8","2","2","1","4","2","0","0","1","11.4","11.4","4.0%"
"31","Blaine Gabbert (TB)","13","20","65.0","117","5.9","1","0","1","2","2","0","0","1","8.9","8.9","0.0%"
"32","Sam Bradford (FA)","17","27","63.0","90","3.3","0","1","1","0","0","0","0","1","1.6","1.6","0.0%"
"33","Lamar Jackson (BAL)","0","0","0","0","0","0","0","0","2","6","0","0","1","0.6","0.6","100.0%"
"34","Joe Webb III (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Matt Schaub (FA)","0","0","0","0","0","0","0","0","1","0","0","0","1","0.0","0.0","0.0%"
"36","Taysom Hill (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","9.0%"
"37","Geno Smith (SEA)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","2.0%"
""
""
