"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaylen Waddle (MIA)","9","10","137","15.2","57","5","1","0","0","0","0","1","28.7","28.7","97.0%"
"2","Tee Higgins (CIN)","6","8","114","19.0","32","2","1","0","0","0","0","1","23.4","23.4","99.0%"
"3","Adam Thielen (MIN)","5","7","62","12.4","29","2","2","0","0","0","0","1","23.2","23.2","92.0%"
"4","Kendrick Bourne (NE)","5","6","61","12.2","41","3","2","0","0","0","0","1","23.1","23.1","6.0%"
"5","Hunter Renfrow (LV)","8","9","134","16.8","54","6","0","1","2","0","0","1","21.6","21.6","90.0%"
"6","Deebo Samuel (SF)","1","4","12","12.0","12","0","0","6","66","2","0","1","20.8","20.8","100.0%"
"7","Stefon Diggs (BUF)","7","9","74","10.6","28","1","1","0","0","0","0","1","20.4","20.4","100.0%"
"8","DeSean Jackson (FA)","3","4","102","34.0","56","6","1","0","0","0","0","1","19.2","19.2","5.0%"
"9","Odell Beckham Jr. (FA)","5","10","81","16.2","54","4","1","0","0","0","0","1","19.1","19.1","14.0%"
"10","Cooper Kupp (LAR)","7","10","96","13.7","22","1","0","0","0","0","0","1","18.6","18.6","100.0%"
"11","Diontae Johnson (PIT)","9","14","95","10.6","16","0","0","0","0","0","0","1","18.5","18.5","97.0%"
"12","Davante Adams (LV)","8","9","104","13.0","43","3","0","0","0","0","0","1","18.4","18.4","100.0%"
"13","Van Jefferson (LAR)","3","9","93","31.0","79","4","1","0","0","0","0","1","18.3","18.3","10.0%"
"14","Russell Gage (TB)","6","7","62","10.3","15","0","1","0","0","0","0","1","18.2","18.2","52.0%"
"15","Randall Cobb (GB)","4","5","95","23.8","54","5","1","0","0","0","1","1","17.5","17.5","4.0%"
"16","Darnell Mooney (CHI)","5","8","123","24.6","52","6","0","1","2","0","0","1","17.5","17.5","90.0%"
"17","Cedrick Wilson Jr. (MIA)","7","10","104","14.9","51","4","0","0","0","0","0","1","17.4","17.4","1.0%"
"18","Josh Reynolds (DET)","3","5","70","23.3","39","2","1","0","0","0","0","1","16.0","16.0","1.0%"
"19","Michael Gallup (DAL)","5","8","106","21.2","41","5","0","0","0","0","0","1","15.6","15.6","41.0%"
"20","Keenan Allen (LAC)","7","10","85","12.1","24","1","0","0","0","0","0","1","15.5","15.5","100.0%"
"21","Jarvis Landry (NO)","6","10","111","18.5","38","4","0","0","0","0","1","1","15.1","15.1","35.0%"
"22","Jakobi Meyers (NE)","5","8","98","19.6","38","4","0","0","0","0","0","1","14.8","14.8","35.0%"
"23","DJ Moore (CAR)","4","10","103","25.8","64","4","0","0","0","0","0","1","14.3","14.3","99.0%"
"24","Brandin Cooks (HOU)","3","5","45","15.0","40","3","1","0","0","0","0","1","13.5","13.5","95.0%"
"25","Justin Jefferson (MIN)","4","9","83","20.8","30","3","0","0","0","0","0","1","13.3","13.3","100.0%"
"26","Ashton Dulin (IND)","1","1","62","62.0","62","4","1","0","0","0","0","1","13.2","13.2","0.0%"
"27","Marquise Brown (ARI)","8","10","51","6.4","11","0","0","0","0","0","0","1","13.1","13.1","92.0%"
"28","T.Y. Hilton (FA)","4","5","28","7.0","10","0","1","0","0","0","0","1","12.8","12.8","0.0%"
"29","Tyler Lockett (SEA)","3","5","96","32.0","55","6","0","0","0","0","0","1","12.6","12.6","86.0%"
"30","Brandon Aiyuk (SF)","3","6","91","30.3","37","5","0","1","4","0","0","1","12.5","12.5","89.0%"
"31","Zay Jones (JAC)","5","7","59","11.8","35","2","0","1","4","0","0","1","11.3","11.3","1.0%"
"32","Noah Brown (DAL)","6","9","53","8.8","15","0","0","0","0","0","0","1","11.3","11.3","0.0%"
"33","Chase Claypool (PIT)","3","8","82","27.3","41","5","0","0","0","0","0","1","11.2","11.2","69.0%"
"34","Nick Westbrook-Ikhine (TEN)","2","6","25","12.5","24","1","1","0","0","0","0","1","10.5","10.5","1.0%"
"35","Jauan Jennings (SF)","2","3","24","12.0","21","1","1","0","0","0","0","1","10.4","10.4","0.0%"
"36","Freddie Swain (SEA)","1","2","32","32.0","32","2","1","0","0","0","0","1","10.2","10.2","0.0%"
"37","Tavon Austin (FA)","2","2","21","10.5","14","0","1","0","0","0","0","1","10.1","10.1","0.0%"
"38","Cole Beasley (FA)","5","5","46","9.2","14","0","0","0","0","0","0","1","9.6","9.6","1.0%"
"39","Michael Pittman Jr. (IND)","4","10","53","13.3","23","1","0","0","0","0","0","1","9.3","9.3","99.0%"
"40","Laquon Treadwell (JAC)","4","8","53","13.3","20","1","0","0","0","0","0","1","9.3","9.3","0.0%"
"41","Elijah Moore (NYJ)","4","8","46","11.5","22","1","0","1","7","0","0","1","9.3","9.3","88.0%"
"42","Terry McLaurin (WAS)","4","7","51","12.8","20","1","0","0","0","0","0","1","9.1","9.1","98.0%"
"43","Marquez Valdes-Scantling (KC)","4","9","50","12.5","28","1","0","0","0","0","0","1","9.0","9.0","51.0%"
"44","DeAndre Carter (LAC)","4","5","42","10.5","16","0","0","1","4","0","0","1","8.6","8.6","0.0%"
"45","Marvin Jones Jr. (JAC)","4","7","43","10.8","21","1","0","0","0","0","0","1","8.3","8.3","8.0%"
"46","Laviska Shenault Jr. (JAC)","5","9","33","6.6","24","1","0","0","0","0","0","1","8.3","8.3","2.0%"
"47","Damiere Byrd (ATL)","4","5","42","10.5","19","0","0","0","0","0","0","1","8.2","8.2","0.0%"
"48","Kenny Golladay (NYG)","3","7","50","16.7","18","0","0","0","0","0","0","1","8.0","8.0","34.0%"
"49","Mike Williams (LAC)","4","8","39","9.8","13","0","0","0","0","0","0","1","7.9","7.9","98.0%"
"50","Lil'Jordan Humphrey (NE)","3","5","47","15.7","24","1","0","0","0","0","0","1","7.7","7.7","0.0%"
"51","Tre'Quan Smith (NO)","4","5","31","7.8","14","0","0","0","0","0","0","1","7.1","7.1","0.0%"
"52","Rashod Bateman (BAL)","4","4","31","7.8","13","0","0","0","0","0","0","1","7.1","7.1","92.0%"
"53","Ja'Marr Chase (CIN)","3","3","39","13.0","16","0","0","0","0","0","0","1","6.9","6.9","100.0%"
"54","Braxton Berrios (NYJ)","2","3","47","23.5","46","3","0","0","0","0","0","1","6.7","6.7","3.0%"
"55","Albert Wilson (FA)","5","6","17","3.4","6","0","0","0","0","0","0","1","6.7","6.7","0.0%"
"56","Gabriel Davis (BUF)","2","3","47","23.5","26","2","0","0","0","0","0","1","6.7","6.7","93.0%"
"57","Amon-Ra St. Brown (DET)","4","4","23","5.8","11","0","0","0","0","0","0","1","6.3","6.3","94.0%"
"58","Emmanuel Sanders (FA)","3","3","28","9.3","17","0","0","0","0","0","0","1","5.8","5.8","1.0%"
"59","Darius Slayton (NYG)","3","4","40","13.3","18","0","0","1","-13","0","0","1","5.7","5.7","0.0%"
"60","Danny Amendola (FA)","3","5","23","7.7","11","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"61","Jalen Reagor (PHI)","2","7","31","15.5","21","1","0","0","0","0","0","1","5.1","5.1","1.0%"
"62","Nelson Agholor (NE)","3","3","20","6.7","10","0","0","0","0","0","0","1","5.0","5.0","1.0%"
"63","Nico Collins (HOU)","2","5","28","14.0","20","1","0","0","0","0","0","1","4.8","4.8","20.0%"
"64","John Ross (FA)","2","2","28","14.0","19","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"65","Chris Godwin (TB)","4","5","24","6.0","9","0","0","1","3","0","1","1","4.7","4.7","88.0%"
"66","Quez Watkins (PHI)","2","5","23","11.5","19","0","0","1","3","0","0","1","4.6","4.6","1.0%"
"67","Kalif Raymond (DET)","3","4","16","5.3","17","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"68","Mike Evans (TB)","3","6","16","5.3","9","0","0","0","0","0","0","1","4.6","4.6","100.0%"
"69","Tim Patrick (DEN)","2","3","26","13.0","19","0","0","0","0","0","0","1","4.6","4.6","7.0%"
"70","Jakeem Grant Sr. (CLE)","2","4","25","12.5","13","0","0","1","0","0","0","1","4.5","4.5","0.0%"
"71","Jerry Jeudy (DEN)","2","3","25","12.5","13","0","0","0","0","0","0","1","4.5","4.5","95.0%"
"72","Joshua Palmer (LAC)","2","2","25","12.5","18","0","0","0","0","0","0","1","4.5","4.5","12.0%"
"73","Keelan Cole Sr. (LV)","2","2","24","12.0","13","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"74","Marquez Callaway (NO)","2","4","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","1.0%"
"75","Jalen Guyton (LAC)","2","3","23","11.5","15","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"76","Cody Hollister (TEN)","2","4","22","11.0","14","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"77","Tajae Sharpe (CHI)","2","3","22","11.0","13","0","0","0","0","0","0","1","4.2","4.2","0.0%"
