"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Devonta Freeman (FA)","265","1,056","4.0","39","6","11","73","97","578","7.9","3","2","15","316.4","21.1","0.0%"
"2","Adrian Peterson (FA)","327","1,485","4.5","80","10","11","30","36","222","7.4","0","3","16","260.7","16.3","2.1%"
"3","Danny Woodhead (FA)","98","336","3.4","27","1","3","80","106","755","9.4","6","0","16","243.1","15.2","20.6%"
"4","Doug Martin (FA)","288","1,402","4.9","84","14","6","33","44","271","8.2","1","5","16","232.3","14.5","0.0%"
"5","Lamar Miller (FA)","194","872","4.5","85","7","8","47","57","397","8.4","2","1","16","231.9","14.5","0.0%"
"6","DeAngelo Williams (FA)","200","907","4.5","55","6","11","40","47","367","9.2","0","2","16","231.4","14.5","0.1%"
"7","Matt Forte (FA)","218","898","4.1","27","4","4","44","58","389","8.8","3","1","13","214.7","16.5","19.1%"
"8","David Johnson (FA)","125","581","4.6","47","3","8","36","57","457","12.7","4","1","16","209.8","13.1","0.0%"
"9","Todd Gurley II (FA)","229","1,106","4.8","71","11","10","21","26","188","9.0","0","1","13","208.6","16.0","0.0%"
"10","Latavius Murray (NO)","266","1,066","4.0","54","9","6","41","53","232","5.7","0","1","16","204.8","12.8","0.1%"
"11","Mark Ingram II (NO)","166","769","4.6","70","5","6","50","60","405","8.1","0","1","12","203.4","17.0","24.4%"
"12","Chris Ivory (FA)","247","1,070","4.3","58","9","7","30","37","217","7.2","1","2","15","202.7","13.5","0.0%"
"13","Darren McFadden (FA)","239","1,089","4.6","50","9","3","40","53","328","8.2","0","3","16","195.7","12.2","7.0%"
"14","Frank Gore (FA)","260","967","3.7","37","5","6","34","58","267","7.9","1","3","16","193.4","12.1","12.1%"
"15","DeMarco Murray (FA)","193","702","3.6","54","5","6","44","55","322","7.3","1","2","15","184.4","12.3","0.1%"
"16","Giovani Bernard (TB)","154","730","4.7","28","2","2","49","66","472","9.6","0","0","16","181.2","11.3","0.3%"
"17","Charles Sims (FA)","107","529","4.9","59","4","0","51","70","561","11.0","4","2","16","180.0","11.3","0.0%"
"18","Theo Riddick (FA)","43","133","3.1","16","0","0","80","99","697","8.7","3","1","16","179.0","11.2","0.0%"
"19","LeSean McCoy (FA)","203","895","4.4","48","6","3","32","50","292","9.1","2","2","12","178.7","14.9","2.0%"
"20","Jeremy Hill (FA)","223","794","3.6","38","1","11","15","19","79","5.3","1","3","16","170.3","10.6","0.0%"
"21","James Starks (FA)","148","601","4.1","65","5","2","43","53","392","9.1","3","3","16","166.3","10.4","0.0%"
"22","Rashad Jennings (FA)","195","863","4.4","38","6","3","29","40","296","10.2","1","2","16","164.9","10.3","0.0%"
"23","Duke Johnson Jr. (BUF)","104","379","3.6","39","2","0","61","74","534","8.8","2","0","16","164.3","10.3","0.0%"
"24","Jonathan Stewart (FA)","242","989","4.1","44","4","6","16","21","99","6.2","1","2","13","162.8","12.5","0.0%"
"25","Ronnie Hillman (FA)","207","863","4.2","72","5","7","24","35","111","4.6","0","1","16","161.4","10.1","0.0%"
"26","Shane Vereen (FA)","61","260","4.3","39","1","0","59","81","494","8.4","4","0","16","158.4","9.9","0.0%"
"27","T.J. Yeldon (FA)","182","740","4.1","45","4","2","36","46","279","7.8","1","0","12","155.9","13.0","0.0%"
"28","Darren Sproles (FA)","83","317","3.8","27","1","3","55","83","388","7.1","1","0","16","149.5","9.3","0.1%"
"29","Jeremy Langford (FA)","148","537","3.6","23","1","6","22","42","279","12.7","1","0","16","147.6","9.2","0.0%"
"30","Javorius Allen (FA)","137","514","3.8","44","2","1","45","62","353","7.8","2","2","16","145.7","9.1","0.1%"
"31","C.J. Anderson (FA)","152","720","4.7","48","5","5","25","36","183","7.3","0","2","15","141.3","9.4","1.0%"
"32","Eddie Lacy (FA)","187","758","4.1","29","4","3","20","28","188","9.4","2","2","15","140.6","9.4","0.3%"
"33","Isaiah Crowell (FA)","185","706","3.8","54","5","4","19","22","182","9.6","1","0","16","137.8","8.6","0.1%"
"34","Bilal Powell (FA)","70","313","4.5","24","3","1","47","63","388","8.3","2","0","11","135.1","12.3","0.0%"
"35","Charcandrick West (FA)","160","634","4.0","38","4","4","20","34","214","10.7","1","1","15","132.8","8.9","0.0%"
"36","Thomas Rawls (FA)","147","830","5.6","69","7","4","9","11","76","8.4","1","1","13","127.6","9.8","0.1%"
"37","Ryan Mathews (FA)","106","539","5.1","63","6","6","20","28","146","7.3","1","3","13","124.5","9.6","0.0%"
"38","Karlos Williams (FA)","93","517","5.6","41","5","7","11","14","96","8.7","2","1","11","124.3","11.3","0.6%"
"39","James White (FA)","22","56","2.5","8","0","2","40","54","410","10.3","4","0","14","122.6","8.8","0.2%"
"40","LeGarrette Blount (FA)","165","703","4.3","38","4","6","6","7","43","7.2","1","0","12","122.6","10.2","0.1%"
"41","Justin Forsett (FA)","151","641","4.2","33","5","2","31","41","153","4.9","0","0","10","122.4","12.2","0.0%"
"42","Dion Lewis (FA)","49","234","4.8","13","0","2","36","50","388","10.8","2","1","7","120.2","17.2","2.0%"
